gene,essential,comment
PA14_00010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00020,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00050,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00060,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00080,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00090,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00120,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00130,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00140,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00170,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00210,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00230,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00240,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00280,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00290,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00300,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00310,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00320,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00340,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00360,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00380,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00400,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00410,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00420,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00430,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00440,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00450,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00460,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00470,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00480,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00490,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00510,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00520,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00530,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00550,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00560,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00570,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00580,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00590,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00600,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00620,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00630,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00640,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00650,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00660,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00670,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00680,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00690,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00700,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00710,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00720,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00730,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00740,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00750,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00760,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00770,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00780,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00790,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00800,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00810,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00820,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00830,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00850,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00860,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00875,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00890,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00900,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00910,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00925,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00940,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00960,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00970,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00980,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00990,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01010,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01020,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01040,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01060,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01080,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01100,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01120,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01130,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01140,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01170,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01200,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01220,no,"Manoil and Ausubel Overlap, 2005, LB"
