gene,essential,comment
PA14_00060,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00070,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00120,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00250,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00280,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00290,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00440,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00640,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01250,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01460,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01660,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01760,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01830,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01900,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_01910,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02070,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02330,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02340,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02470,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02550,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02570,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02590,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02630,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02640,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02680,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02790,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02810,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02830,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02840,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02850,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_02900,no,"Manoil and Ausubel Overlap, 2005, LB met"
