exchange,uptake,growth,comment
EX_cpd01949_e,10,0,"2,3-Butanediol"
EX_cpd00361_e,10,0,"2,3-Butanone"
EX_cpd00162_e,10,1,2-Aminoethanol
EX_cpd00294_e,10,0,2-Deoxy Adenosine
EX_cpd01242_e,10,0,2-Deoxy-D-Ribose
EX_cpd00599_e,10,0,2-Hydroxy Benzoic Acid
EX_cpd00361_e,10,0,3-Hydroxy 2-Butanone
EX_cpd00136_e,10,1,4-Hydroxy Benzoic Acid
EX_cpd00029_e,10,1,Acetic Acid
EX_cpd00142_e,10,0,Acetoacetic Acid
EX_cpd00182_e,10,1,Adenosine
EX_cpd00211_e,10,1,Butyric Acid
EX_cpd01502_e,10,0,Citraconic Acid
EX_cpd00137_e,10,1,Citric Acid
EX_cpd00266_e,10,1,"D,L-Carnitine"
EX_cpd00080_e,10,1,"D,L-α-Glycerol- 
Phosphate"
EX_cpd00117_e,10,1,D-Alanine
EX_cpd00158_e,10,0,D-Cellobiose
EX_cpd00082_e,10,1,D-Fructose
EX_cpd00072_e,10,0,D-Fructose-6-Phosphate
EX_cpd00280_e,10,0,D-Galacturonic Acid
EX_cpd00222_e,10,1,D-Gluconic Acid
EX_cpd00089_e,10,0,D-Glucose-1-Phosphate
EX_cpd00079_e,10,0,D-Glucose-6-Phosphate
EX_cpd00164_e,10,0,D-Glucuronic Acid
EX_cpd00386_e,10,0,D-Malic Acid
EX_cpd00314_e,10,1,D-Mannitol
EX_cpd00138_e,10,0,D-Mannose
EX_cpd00105_e,10,0,D-Ribose
EX_cpd00609_e,10,0,D-Saccharic Acid
EX_cpd00550_e,10,0,D-Serine
EX_cpd00588_e,10,0,D-Sorbitol
EX_cpd00666_e,10,0,D-Tartaric Acid
EX_cpd00154_e,10,0,D-Xylose
EX_cpd00047_e,10,0,Formic Acid
EX_cpd00106_e,10,1,Fumaric Acid
EX_cpd00100_e,10,1,Glycerol
EX_cpd00033_e,10,1,Glycine
EX_cpd00155_e,10,0,Glycogen
EX_cpd00139_e,10,0,Glycolic Acid
EX_cpd11589_e,10,0,Glycyl-L-Aspartic Acid
EX_cpd11592_e,10,1,Glycyl-L-Glutamic Acid
EX_cpd11588_e,10,1,Glycyl-L-Proline
EX_cpd00040_e,10,0,Glyoxylic Acid
EX_cpd00851_e,10,1,Hydroxy-L-Proline
EX_cpd00246_e,10,0,Inosine
EX_cpd00380_e,10,1,Itaconic Acid
EX_cpd00035_e,10,1,L-Alanine
EX_cpd11585_e,10,1,L-Alanyl-Glycine
EX_cpd00224_e,10,0,L-Arabinose
EX_cpd00051_e,10,1,L-Arginine
EX_cpd00132_e,10,1,L-Asparagine
EX_cpd00041_e,10,1,L-Aspartic Acid
EX_cpd00023_e,10,1,L-Glutamic Acid
EX_cpd00053_e,10,1,L-Glutamine
EX_cpd00119_e,10,1,L-Histidine
EX_cpd00227_e,10,0,L-Homoserine
EX_cpd00322_e,10,1,L-Isoleucine
EX_cpd00159_e,10,1,L-Lactic Acid
EX_cpd00107_e,10,1,L-Leucine
EX_cpd00039_e,10,1,L-Lysine
EX_cpd00130_e,10,1,L-Malic Acid
EX_cpd00060_e,10,0,L-Methionine
EX_cpd00064_e,10,1,L-Ornithine
EX_cpd00066_e,10,1,L-Phenylalanine
EX_cpd00129_e,10,1,L-Proline
EX_cpd00054_e,10,1,L-Serine
EX_cpd00666_e,10,0,L-Tartaric Acid
EX_cpd00161_e,10,0,L-Threonine
EX_cpd00156_e,10,0,L-Valine
EX_cpd00308_e,10,1,Malonic Acid
EX_cpd00179_e,10,0,Maltose
EX_cpd01262_e,10,0,Maltotriose
EX_cpd03320_e,10,0,m-Hydroxy Phenyl Acetic Acid
EX_cpd00121_e,10,0,m-Inositol
EX_cpd00666_e,10,0,m-Tartaric Acid
EX_cpd00652_e,10,0,Mucic Acid
EX_cpd00477_e,10,1,N-Acetyl-L-Glutamic Acid
EX_cpd00489_e,10,1,p-Hydroxy Phenyl Acetic Acid
EX_cpd00141_e,10,1,Propionic Acid
EX_cpd00118_e,10,1,Putrescine
EX_cpd00020_e,10,1,Pyruvic Acid
EX_cpd00036_e,10,1,Succinic Acid
EX_cpd00184_e,10,0,Thymidine
EX_cpd00794_e,10,0,D-Trehalose
EX_cpd00249_e,10,1,Uridine
EX_cpd00027_e,10,1,α-D-Glucose
EX_cpd00094_e,10,0,α-Keto-Butyric Acid
EX_cpd00024_e,10,1,α-Keto-Glutaric Acid
EX_cpd00797_e,10,1,β-Hydroxy Butyric Acid
EX_cpd00281_e,10,1,γ-Amino Butyric Acid
