exchange,uptake,comment
EX_cpd00797_e,0,
EX_cpd17085_e,0,
EX_cpd00176_e,0,
EX_cpd00024_e,0,
EX_cpd00489_e,0,
EX_cpd00147_c,0,
EX_cpd00029_e,0,
EX_cpd00142_e,0,
EX_cpd00182_e,0,
EX_cpd11587_e,0,
EX_cpd11584_e,0,
EX_cpd11593_e,0,
EX_cpd11583_e,0,
EX_cpd11586_e,0,
EX_cpd11582_e,0,
EX_cpd01092_e,0,
EX_cpd00162_e,0,
EX_cpd01262_e,0,
EX_cpd01048_e,0,
EX_cpd04098_e,0,
EX_cpd00540_e,0,
EX_cpd11416_c,0,
EX_cpd11596_e,0,
EX_cpd00211_e,0,
EX_cpd00063_e,0,
EX_cpd00635_e,0,
EX_cpd01012_e,1000,
EX_cpd00098_e,0,
EX_cpd11595_e,0,
EX_cpd00137_e,0,
EX_cpd00099_e,0,
EX_cpd00011_e,1000,
EX_cpd00149_e,1000,
EX_cpd00058_e,1000,
EX_cpd01015_e,0,
EX_cpd01017_e,0,
EX_cpd00381_e,0,
EX_cpd00367_e,0,
EX_cpd00307_e,0,
EX_cpd00117_e,0,
EX_cpd00438_e,0,
EX_cpd00654_e,0,
EX_cpd00277_e,0,
EX_cpd03279_e,0,
EX_cpd00412_e,0,
EX_cpd00082_e,0,
EX_cpd00072_e,0,
EX_cpd00653_e,0,
EX_cpd00280_e,0,
EX_cpd00609_e,0,
EX_cpd00027_e,10,
EX_cpd00079_e,0,
EX_cpd00221_e,0,
EX_cpd01307_e,0,
EX_cpd00386_e,0,
EX_cpd00637_e,0,
EX_cpd00652_e,0,
EX_cpd00105_e,0,
EX_cpd00550_e,0,
EX_cpd11579_e,0,
EX_cpd00021_e,1000,
EX_cpd10516_e,1000,
EX_cpd03724_e,0,
EX_cpd00106_e,0,
EX_cpd00108_e,0,
EX_cpd00164_e,0,
EX_cpd11581_e,0,
EX_cpd11589_e,0,
EX_cpd00100_e,0,
EX_cpd00080_e,0,
EX_cpd00033_e,0,
EX_cpd00139_e,0,
EX_cpd15603_e,0,
EX_cpd11580_e,0,
EX_cpd11592_e,0,
EX_cpd15604_e,0,
EX_cpd11591_e,0,
EX_cpd15605_e,0,
EX_cpd11588_e,0,
EX_cpd15606_e,0,
EX_cpd00067_e,1000,
EX_cpd00001_e,1000,
EX_cpd00268_e,0,
EX_cpd11578_e,0,
EX_cpd00531_e,0,
EX_cpd00226_e,0,
EX_cpd00246_e,0,
EX_cpd03048_e,0,
EX_cpd00205_e,1000,
EX_cpd03091_e,0,
EX_cpd00035_e,0,
EX_cpd11585_e,0,
EX_cpd00224_e,0,
EX_cpd00051_e,0,
EX_cpd00132_e,0,
EX_cpd00041_e,0,
EX_cpd00395_e,0,
EX_cpd00084_e,0,
EX_cpd00023_e,0,
EX_cpd00053_e,0,
EX_cpd00119_e,0,
EX_cpd00121_e,0,
EX_cpd00322_e,0,
EX_cpd00159_e,0,
EX_cpd00107_e,0,
EX_cpd00039_e,0,
EX_cpd00130_e,0,
EX_cpd00060_e,0,
EX_cpd11576_e,0,
EX_cpd01914_e,0,
EX_cpd00066_e,0,
EX_cpd00129_e,0,
EX_cpd00054_e,0,
EX_cJB00034_e,0,
EX_cpd00161_e,0,
EX_cpd00065_e,0,
EX_cpd00069_e,0,
EX_cpd00156_e,0,
EX_cpd00308_e,0,
EX_cpd01329_e,0,
EX_cpd00179_e,0,
EX_cPY00016_e,0,
EX_cpd08023_e,0,
EX_cpd11590_e,0,
EX_cpd00254_e,1000,
EX_cpd00030_e,1000,
EX_cpd11574_e,0,
EX_cpd11575_e,0,
EX_cpd00971_e,1000,
EX_cpd00122_e,0,
EX_cpd00013_e,1000,
EX_cpd00244_e,1000,
EX_cpd00209_e,0,
EX_cpd00075_e,0,
EX_cpd00528_e,1000,
EX_cpd00007_e,20,
EX_cpd00064_e,0,
EX_cpd04097_e,0,
EX_cpd00009_e,1000,
EX_cPY00116_e,0,
EX_cpd00012_e,0,
EX_cpd00141_e,0,
EX_cpd00118_e,0,
EX_cpd00020_e,0,
EX_cpd00588_e,0,
EX_cpd00264_e,0,
EX_cpd00036_e,0,
EX_cpd00048_e,1000,
EX_cpd09878_e,0,
EX_cpd00210_e,0,
EX_cpd00305_e,0,
EX_cpd00184_e,0,
EX_cpd01242_e,0,
EX_cpd00851_e,0,
EX_cpd00092_e,0,
EX_cpd00073_e,0,
EX_cpd00249_e,0,
EX_cpd03424_e,0,
EX_cpd00423_e,0,
EX_cpd00309_e,0,
EX_cpd00306_e,0,
EX_cpd00154_e,0,
EX_cpd00034_e,1000,
rJB00275,0,
rJB00280,0,
rJB00281,0,
EX_cpd00331_e,0,
EX_cpd00089_e,0,
EX_cpd00314_e,0,
EX_cpd00380_e,0,
EX_cpd00581_e,0,
EX_cpd00281_e,0,
